ID,Number,From,To,WaitToBoard,TotalTime
351,4,1,3,31,60
344,5,2,3,59,74
349,6,0,5,15,86
347,6,2,4,122,144
354,1,3,2,17,34
361,3,2,1,13,27
352,4,4,0,4,64
359,2,3,0,2,45
357,2,0,2,55,77
356,4,0,3,59,96
355,3,2,3,85,99
360,1,3,4,83,97
353,1,2,5,88,132
358,4,5,4,119,133
362,3,0,1,32,46
363,2,5,2,80,108
364,5,0,1,18,35
370,4,0,3,7,53
372,4,2,3,37,51
368,2,0,4,8,70
369,5,0,4,8,70
371,1,3,4,54,68
367,6,5,2,89,120
365,5,5,1,95,141
366,4,5,0,91,152
373,6,1,2,11,26
375,2,1,5,3,47
374,2,5,0,52,101
380,2,3,0,61,89
377,5,0,1,92,110
376,2,0,3,94,134
378,5,0,5,92,153
379,6,0,5,91,152
383,3,4,2,13,43
385,5,3,0,21,58
388,5,3,0,15,52
392,3,0,1,50,67
382,5,0,2,69,101
386,2,1,2,75,89
387,2,1,2,73,87
381,5,0,3,220,268
389,3,4,5,118,132
390,1,5,4,133,147
391,3,5,0,130,179
394,4,0,1,1,15
393,4,1,5,16,60
396,5,4,5,42,58
397,1,4,5,42,58
400,5,4,5,32,48
398,5,4,0,72,122
399,4,2,0,90,118
395,3,1,0,112,126
401,3,0,5,4,53
402,2,4,5,36,50
408,5,5,4,38,53
403,4,4,2,65,86
404,3,1,0,98,112
409,1,0,3,104,136
406,4,0,4,110,156
405,6,0,5,112,172
407,2,0,5,108,168
410,5,0,5,104,164
411,2,0,5,100,160
419,1,3,1,1,22
412,3,3,0,18,53
414,4,0,1,47,64
418,1,0,1,39,56
420,5,0,2,35,67
415,4,2,3,78,92
416,6,0,5,42,118
413,5,5,4,128,143
417,4,4,0,135,170
422,3,4,5,32,46
424,6,4,0,52,95
426,3,1,0,78,92
423,2,1,4,115,143
425,1,1,5,109,151
427,4,0,1,39,54
429,1,0,2,33,63
428,1,1,5,52,94
430,4,5,0,92,141
431,3,1,0,124,138
439,4,5,4,28,45
432,6,5,1,39,84
434,3,5,0,35,95
441,2,0,1,84,101
437,4,0,3,91,131
436,2,1,4,111,148
438,5,1,4,108,145
433,3,3,4,140,154
435,3,0,5,96,167
440,5,0,5,85,156
445,4,0,1,29,45
444,2,1,3,50,71
443,4,0,4,35,88
446,2,3,4,64,78
442,2,0,5,39,107
447,6,4,5,11,26
451,5,0,1,61,77
450,1,1,3,82,110
449,4,2,3,97,111
448,5,0,4,66,127
456,3,0,2,25,55
452,1,0,3,32,76
457,2,0,4,25,83
458,5,0,5,22,94
453,4,1,5,45,101
455,6,2,0,127,156
454,2,1,0,146,160
460,3,0,4,4,39
459,3,1,0,67,81
461,4,0,1,4,20
464,3,0,2,0,32
463,4,0,3,2,48
465,1,1,5,14,65
466,6,1,5,14,65
469,2,3,5,37,58
470,2,2,1,84,98
462,3,1,0,117,132
468,2,1,0,103,118
467,2,0,2,123,144
474,2,0,1,13,28
